[15:06:16] row item excel ke-3, column ke-10
[15:06:17] row item excel ke-3, column ke-11
[15:06:18] row item excel ke-3, column ke-12
[15:06:21] row item excel ke-3, column ke-13
[15:06:21] row item excel ke-3, column ke-14
[15:06:21] row item excel ke-3, column ke-15
[15:06:21] row item excel ke-3, column ke-16
[15:06:21] row item excel ke-3, column ke-17
[15:06:21] row item excel ke-3, column ke-18
[15:06:21] row item excel ke-3, column ke-19
[15:06:21] row item excel ke-3, column ke-20
[15:06:21] row item excel ke-3, column ke-21
[15:06:21] row item excel ke-3, column ke-22
[15:06:21] row item excel ke-3, column ke-23
[15:06:21] row item excel ke-3, column ke-24
[15:06:21] row item excel ke-3, column ke-25
[15:06:21] row item excel ke-4, column ke-0
[15:06:21] row item excel ke-4, column ke-1
[15:06:21] row item excel ke-4, column ke-2
[15:06:21] row item excel ke-4, column ke-3
[15:06:21] row item excel ke-4, column ke-4
[15:06:21] row item excel ke-4, column ke-5
[15:06:21] row item excel ke-4, column ke-6
[15:06:21] row item excel ke-4, column ke-7
[15:06:21] row item excel ke-4, column ke-8
[15:06:21] row item excel ke-4, column ke-9
[15:06:21] row item excel ke-4, column ke-10
[15:06:21] row item excel ke-4, column ke-11
[15:06:21] row item excel ke-4, column ke-12
[15:06:21] row item excel ke-4, column ke-13
[15:06:21] row item excel ke-4, column ke-14
[15:06:21] row item excel ke-4, column ke-15
[15:06:21] row item excel ke-4, column ke-16
[15:06:21] row item excel ke-4, column ke-17
[15:06:21] row item excel ke-4, column ke-18
[15:06:21] row item excel ke-4, column ke-19
[15:06:21] row item excel ke-4, column ke-20
[15:06:21] row item excel ke-4, column ke-21
[15:06:21] row item excel ke-4, column ke-22
[15:06:21] row item excel ke-4, column ke-23
[15:06:21] row item excel ke-4, column ke-24
[15:06:21] row item excel ke-4, column ke-25
[15:06:21] row item excel ke-5, column ke-0
[15:06:21] row item excel ke-5, column ke-1
[15:06:21] row item excel ke-5, column ke-2
[15:06:21] row item excel ke-5, column ke-3
[15:06:21] row item excel ke-5, column ke-4
[15:06:21] row item excel ke-5, column ke-5
[15:06:21] row item excel ke-5, column ke-6
[15:06:21] row item excel ke-5, column ke-7
[15:06:21] row item excel ke-5, column ke-8
[15:06:21] row item excel ke-5, column ke-9
[15:06:21] row item excel ke-5, column ke-10
[15:06:21] row item excel ke-5, column ke-11
[15:06:21] row item excel ke-5, column ke-12
[15:06:21] row item excel ke-5, column ke-13
[15:06:21] row item excel ke-5, column ke-14
[15:06:21] row item excel ke-5, column ke-15
[15:06:21] row item excel ke-5, column ke-16
[15:06:21] row item excel ke-5, column ke-17
[15:06:21] row item excel ke-5, column ke-18
[15:06:21] row item excel ke-5, column ke-19
[15:06:21] row item excel ke-5, column ke-20
[15:06:21] row item excel ke-5, column ke-21
[15:06:21] row item excel ke-5, column ke-22
[15:06:21] row item excel ke-5, column ke-23
[15:06:21] row item excel ke-5, column ke-24
[15:06:21] row item excel ke-5, column ke-25
[15:06:21] row item excel ke-6, column ke-0
[15:06:21] row item excel ke-6, column ke-1
[15:06:21] row item excel ke-6, column ke-2
[15:06:21] row item excel ke-6, column ke-3
[15:06:21] row item excel ke-6, column ke-4
[15:06:21] row item excel ke-6, column ke-5
[15:06:21] row item excel ke-6, column ke-6
[15:06:21] row item excel ke-6, column ke-7
[15:06:21] row item excel ke-6, column ke-8
[15:06:21] row item excel ke-6, column ke-9
[15:06:21] row item excel ke-6, column ke-10
[15:06:21] row item excel ke-6, column ke-11
[15:06:21] row item excel ke-6, column ke-12
[15:06:21] row item excel ke-6, column ke-13
[15:06:21] row item excel ke-6, column ke-14
[15:06:21] row item excel ke-6, column ke-15
[15:06:21] row item excel ke-6, column ke-16
[15:06:21] row item excel ke-6, column ke-17
[15:06:21] row item excel ke-6, column ke-18
[15:06:21] row item excel ke-6, column ke-19
[15:06:21] row item excel ke-6, column ke-20
[15:06:21] row item excel ke-6, column ke-21
[15:06:21] row item excel ke-6, column ke-22
[15:06:21] row item excel ke-6, column ke-23
[15:06:21] row item excel ke-6, column ke-24
[15:06:21] row item excel ke-6, column ke-25
[15:06:21] row item excel ke-7, column ke-0
[15:06:21] row item excel ke-7, column ke-1
[15:06:21] row item excel ke-7, column ke-2
[15:06:21] row item excel ke-7, column ke-3
[15:06:21] row item excel ke-7, column ke-4
[15:06:21] row item excel ke-7, column ke-5
[15:06:21] row item excel ke-7, column ke-6
[15:06:21] row item excel ke-7, column ke-7
[15:06:21] row item excel ke-7, column ke-8
[15:06:21] row item excel ke-7, column ke-9
[15:06:21] row item excel ke-7, column ke-10
[15:06:21] row item excel ke-7, column ke-11
[15:06:21] row item excel ke-7, column ke-12
[15:06:21] row item excel ke-7, column ke-13
[15:06:21] row item excel ke-7, column ke-14
[15:06:21] row item excel ke-7, column ke-15
[15:06:21] row item excel ke-7, column ke-16
[15:06:21] row item excel ke-7, column ke-17
[15:06:21] row item excel ke-7, column ke-18
[15:06:21] row item excel ke-7, column ke-19
[15:06:21] row item excel ke-7, column ke-20
[15:06:21] row item excel ke-7, column ke-21
[15:06:21] row item excel ke-7, column ke-22
[15:06:21] row item excel ke-7, column ke-23
[15:06:21] row item excel ke-7, column ke-24
[15:06:21] row item excel ke-7, column ke-25
[15:06:22] row item excel ke-8, column ke-0
[15:06:22] row item excel ke-8, column ke-1
[15:06:22] row item excel ke-8, column ke-2
[15:06:22] row item excel ke-8, column ke-3
[15:06:22] row item excel ke-8, column ke-4
[15:06:22] row item excel ke-8, column ke-5
[15:06:22] row item excel ke-8, column ke-6
[15:06:22] row item excel ke-8, column ke-7
[15:06:22] row item excel ke-8, column ke-8
[15:06:22] row item excel ke-8, column ke-9
[15:06:22] row item excel ke-8, column ke-10
[15:06:22] row item excel ke-8, column ke-11
[15:06:22] row item excel ke-8, column ke-12
[15:06:22] row item excel ke-8, column ke-13
[15:06:22] row item excel ke-8, column ke-14
[15:06:22] row item excel ke-8, column ke-15
[15:06:22] row item excel ke-8, column ke-16
[15:06:22] row item excel ke-8, column ke-17
[15:06:22] row item excel ke-8, column ke-18
[15:06:22] row item excel ke-8, column ke-19
[15:06:22] row item excel ke-8, column ke-20
[15:06:22] row item excel ke-8, column ke-21
[15:06:22] row item excel ke-8, column ke-22
[15:06:22] row item excel ke-8, column ke-23
[15:06:22] row item excel ke-8, column ke-24
[15:06:22] row item excel ke-8, column ke-25
[15:06:22] row item excel ke-9, column ke-0
[15:06:22] row item excel ke-9, column ke-1
[15:06:22] row item excel ke-9, column ke-2
[15:06:22] row item excel ke-9, column ke-3
[15:06:22] row item excel ke-9, column ke-4
[15:06:22] row item excel ke-9, column ke-5
